Home,Level,BOM Line,Item Description,Quantity,Item Type,QTY., UNIT PRICE , totPRICE , subtotal , PO , VENDOR ,Rule configured by,Item Rev Status,Find No.,Make/Buy,Unit Of Measure,Reference Designator,All Notes,VOC - Variant Occ. Config'd,HCVD - Has Classic Variant Data,Variant Conditions,EOC - Effective Occ. Config'd,Occurrence Effectivity ID,Item Revision Checked-Out,Has Active Markup,PDLC,DOCINT,DOCPDLC
451,3,BOM_RSR24793/001 x 120,"COLLARE*X TUBO $2""",120,BOM,120,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
452,4,BOM_ACE100150015/001 x 1,LAM*10X150X150,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,PositionNo: 1,Y,False,,True,,,False,,,
453,4,BOM_BND05005/003 x 0.3,angle_50x5,0.3,BOM,0.3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,M,,PositionNo: 2,Y,False,,True,,,False,,,
454,3,BOM_RTO86206/000 x 74,ALUMINUM CONDUIT BAR,74,BOM,74,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
455,3,BOM_RTO86226/000 x 210,ALUMINUM BUSHING,210,BOM,210,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
456,3,BOM_RTO86207/000 x 109,ALUMINUM CONDUIT BAR,109,BOM,109,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
457,3,BOM_RTO86227/000 x 270,ALUMINUM BUSHING,270,BOM,270,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
458,3,BOM_RPO595100250/000 x 347,UL CABLE GLAND FOR UNARMOURED CABLE,347,BOM,347,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
459,3,BOM_RPO595100251/000 x 12,UL CABLE GLAND FOR UNARMOURED CABLE,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
460,3,BOM_RPO595100374/000 x 23,REDUCER,23,BOM,23,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
461,3,BOM_RSR24701/001 x 120,STAFFA*PORTASTRUMENTI L250,120,BOM,120,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
462,3,BOM_RSR24789/001 x 85,"COLLARI PER TUBO  3/4""",85,BOM,85,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
463,3,BOM_RSR24790/001 x 35,COLLARI PER TUBO*,35,BOM,35,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
464,3,BOM_RTO86257/000 x 75,BIDIRECTIONAL GUIDE,75,BOM,75,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
465,3,BOM_RTO86256/000 x 85,BIDIRECTIONAL GUIDE,85,BOM,85,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
466,3,BOM_RSO43332/000 x 1,JB ABTECH,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
467,3,BOM_RSO43333/000 x 1,JB ABTECH,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,150,,EACH,,,Y,False,,True,,,False,,,
468,3,BOM_RSO43334/000 x 3,JB ABTECH,3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,160,,EACH,,,Y,False,,True,,,False,,,
469,3,BOM_RSO43335/000 x 1,JB ABTECH,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
470,3,BOM_RSO43336/000 x 1,JB ABTECH,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,180,,EACH,,,Y,False,,True,,,False,,,
471,3,BOM_RSO43337/000 x 2,JB ABTECH,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,190,,EACH,,,Y,False,,True,,,False,,,
472,1,K057CSC15_0506053/001 x 1,ELECTRICAL HOOK-UP BALANCE BOM,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,500,,EACH,,,Y,False,,True,,,False,,,
473,2,BOM_SKO2158077/000 x 1,ELECTRIC HOOK UP BALANCE BOM,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSC21_0506053..1.000000,Y,False,,True,,,False,,,
474,3,BOM_RSR24701/001 x 27,STAFFA*PORTASTRUMENTI L250,27,BOM,27,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
475,3,BOM_RPO595100250/000 x 80,UL CABLE GLAND FOR UNARMOURED CABLE,80,BOM,80,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
476,3,BOM_RPO595100251/000 x 5,UL CABLE GLAND FOR UNARMOURED CABLE,5,BOM,5,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
477,3,BOM_RPO595100374/000 x 25,REDUCER,25,BOM,25,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
478,3,BOM_RTO86257/000 x 48,BIDIRECTIONAL GUIDE,48,BOM,48,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
479,3,BOM_RTO86256/000 x 4,BIDIRECTIONAL GUIDE,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
480,3,BOM_RSR24790/001 x 20,COLLARI PER TUBO*,20,BOM,20,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
481,3,BOM_RSR24793/001 x 30,"COLLARE*X TUBO $2""",30,BOM,30,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
482,4,BOM_ACE100150015/001 x 1,LAM*10X150X150,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,PositionNo: 1,Y,False,,True,,,False,,,
483,4,BOM_BND05005/003 x 0.3,angle_50x5,0.3,BOM,0.3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,M,,PositionNo: 2,Y,False,,True,,,False,,,
484,3,BOM_RSR24789/001 x 30,"COLLARI PER TUBO  3/4""",30,BOM,30,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
485,3,BOM_RTO86206/000 x 15,ALUMINUM CONDUIT BAR,15,BOM,15,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
486,3,BOM_RTO86207/000 x 12,ALUMINUM CONDUIT BAR,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
487,3,BOM_RTO86226/000 x 54,ALUMINUM BUSHING,54,BOM,54,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
488,3,BOM_RTO86227/000 x 52,ALUMINUM BUSHING,52,BOM,52,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
489,3,BOM_RTO86214/000 x 20,COUPLING ALUMINUM SLEEVE,20,BOM,20,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
490,3,BOM_RPO595100258/000 x 5,UL CABLE GLAND FOR UNARMOURED CABLE,5,BOM,5,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
491,1,K057CSD00_0506053/001 x 1,PNEUMATIC HOOK-UP 1ST MTO,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,510,,EACH,,,Y,False,,True,,,False,,,
492,2,BOM_SKO2158026/001 x 1,PNEUMATIC HOOK-UP 1ST MTO,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSD01_0506053..1.000000,Y,False,,True,,,False,,,
493,3,BOM_RCR23504/002 x 30,"RACCORDO*$1/2""X1/4""-NPT-M",30,BOM,30,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
494,3,BOM_RCR23505/003 x 101,RACCORDO  1 2 X1 2 NPT M,101,BOM,101,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
495,3,BOM_RCR23528/002 x 98,RACCORDO DIR  1 2,98,BOM,98,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
496,3,BOM_CKU012160600/000 x 134,"TUBING*$E12,70-1,65X6000",134,BOM,134,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
497,1,K057CSD15_0506053/001 x 1,PNEUMATIC HOOK-UP BALANCE,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,520,,EACH,,,Y,False,,True,,,False,,,
498,2,BOM_SKO2158036/000 x 1,PNEUMATIC HOOK-UP - BALANCE BOM,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSD21_0506053..1.000000,Y,False,,True,,,False,,,
499,3,BOM_CKU025120600/000 x 36,"TUBING 1"" x 0.109"" THK L=6 mt",36,BOM,36,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
500,3,BOM_RVO077626023/000 x 18,"1"" AIR DISTRIB. MANIFOLD 4 OUTLETS 1/2"" NPT-F",18,BOM,18,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
501,3,BOM_RVO710060173/000 x 39,"SB BALL VALVE 1"" NPT-F X F",39,BOM,39,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
502,3,BOM_RCR23504/002 x 6,"RACCORDO*$1/2""X1/4""-NPT-M",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
503,3,BOM_RCR23505/003 x 6,RACCORDO  1 2 X1 2 NPT M,6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
504,3,BOM_RCR23792/001 x 18,"RACCORDO*DIR.DN1""",18,BOM,18,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
505,3,BOM_RCR23506/001 x 36,RACCORDO  1 X1  NPT M,36,BOM,36,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
506,3,BOM_JKG000050604/001 x 22,"RID.M/F*$1""X1/2""-NPT",22,BOM,22,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
507,3,BOM_JLD000056021/001 x 42,"TAPPO*$1/2""-NPT-6000",42,BOM,42,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
508,3,BOM_JJB000060906/000 x 39,"sleeve red._2""_1""-NPT_6000",39,BOM,39,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
509,3,BOM_JJS061033100/001 x 39,"NIPPLO L=100 1"" NPT-M SCH.80 ITN82101/9",39,BOM,39,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
510,1,K057CSU00_0506053/001 x 1,ERECTION HOOK-UP 1ST MTO,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,530,,EACH,,,Y,False,,True,,,False,,,
511,2,BOM_SKO2600570/000 x 1,ERECTION HOOK-UP,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSU01_0506053..1.000000,Y,False,,True,,,False,,,
512,3,BOM_RTO86224/000 x 2,U-BOLT SS 316,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
513,3,BOM_RPR595100362/000 x 208,HILTI STUD X-BT-MR M10/15 SN 8,208,BOM,208,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
514,3,BOM_RSR24851/001 x 12,ROSETTA*$10,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
515,3,BOM_RSR24859/001 x 12,DADO M10,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
516,3,BOM_RSO06995/000 x 38,HOLDER STAKE WITH BASEPLATE ON BEAM,38,BOM,38,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
517,3,BOM_RSO0235589/000 x 3,HOLDER STAKE WITH BASEPLATE ON GRATING,3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
518,3,BOM_RSO06999/000 x 3,PLATE,3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
519,3,BOM_RSO0235539/000 x 3,HOLDER STAKE WITH PIPE ON BEAM,3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
520,3,BOM_RSO0235540/000 x 1,INSTRUMENT SUPPORT L=630 COLUMN D=500,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
521,3,BOM_RSO0235541/000 x 2,INSTRUMENT SUPPORT L=630 COLUMN D=480,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
522,3,BOM_RSO0235545/000 x 2,INSTRUMENT SUPPORT L=630 FOR BEAM,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
523,3,BOM_RSO0235546/000 x 2,INSTRUMENT SUPPORT L=230 FOR BEAM,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
524,3,BOM_RSO0235542/000 x 1,INSTRUMENT SUPPORT L=630 WITH PIPE COLUMN D=500,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
525,3,BOM_RSO0235547/000 x 1,"PIPE 2"" SCH.40 L=1450",1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
526,3,BOM_RSO0235543/000 x 1,INSTRUMENT SUPPORT L=230 WITH PIPE COLUMN D=500,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,150,,EACH,,,Y,False,,True,,,False,,,
527,3,BOM_RSO0235544/000 x 2,INSTRUMENT SUPPORT L=230 COLUMN D=480,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,160,,EACH,,,Y,False,,True,,,False,,,
528,3,BOM_RSO0235548/000 x 12,HEXAGONAL HEAD SCREW M10X80,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
529,1,K057CSU15_0506053/001 x 1,ERECTION HOOK-UP BALANCE,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,540,,EACH,,,Y,False,,True,,,False,,,
530,2,BOM_SKO2158078/000 x 1,ERECTION HOOK UP BALANCE BOM,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSU21_0506053..1.000000,Y,False,,True,,,False,,,
531,3,BOM_RSO06995/000 x 7,HOLDER STAKE WITH BASEPLATE ON BEAM,7,BOM,7,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
532,3,BOM_RSO0235589/000 x 1,HOLDER STAKE WITH BASEPLATE ON GRATING,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
533,3,BOM_RSO06999/000 x 1,PLATE,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
534,3,BOM_RPR595100362/000 x 40,HILTI STUD X-BT-MR M10/15 SN 8,40,BOM,40,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
535,3,BOM_RSO0235548/000 x 4,HEXAGONAL HEAD SCREW M10X80,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
536,3,BOM_RSR24859/001 x 4,DADO M10,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
537,3,BOM_RSR24702/001 x 2,STAFFA*PORTASTRUMENTI,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
538,3,BOM_RSR24793/001 x 2,"COLLARE*X TUBO $2""",2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
539,4,BOM_ACE100150015/001 x 1,LAM*10X150X150,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,PositionNo: 1,Y,False,,True,,,False,,,
540,4,BOM_BND05005/003 x 0.3,angle_50x5,0.3,BOM,0.3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,M,,PositionNo: 2,Y,False,,True,,,False,,,
541,3,BOM_RSR24708/001 x 4,PIASTRA FILETTATA*M6,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
542,3,BOM_RSR24711/001 x 4,PIASTRINA*$7,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
543,3,BOM_RSR24823/001 x 4,VITE *M6X20,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
544,3,BOM_RSR24846/001 x 4,ROSETTA*$8,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
545,1,K057CSU16_0506053/001 x 1,FIRE & GAS ERECTION HOOK-UP BALANCE,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,550,,EACH,,,Y,False,,True,,,False,,,
546,2,BOM_SKO2160552/000 x 1,FIRE & GAS ERECTION HOOK-UP BALANCE,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K057CSU41_0506053..1.000000,Y,False,,True,,,False,,,
547,3,BOM_RSO06999/000 x 3,PLATE,3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
548,3,BOM_RSO0235589/000 x 1,HOLDER STAKE WITH BASEPLATE ON GRATING,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
549,3,BOM_RPR595100363/000 x 10,HILTI STUD X-BT-MR M8/14 SN 8 (2194339),10,BOM,10,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
550,3,BOM_RPR595100362/000 x 14,HILTI STUD X-BT-MR M10/15 SN 8,14,BOM,14,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
551,3,BOM_RSO0235548/000 x 20,HEXAGONAL HEAD SCREW M10X80,20,BOM,20,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
552,3,BOM_RSR24851/001 x 20,ROSETTA*$10,20,BOM,20,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,60,,EACH,,,Y,False,,True,,,False,,,
553,3,BOM_RSR24859/001 x 30,DADO M10,30,BOM,30,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,70,,EACH,,,Y,False,,True,,,False,,,
554,3,BOM_RSO0235590/000 x 2,HOLDER STAKE WITH BASEMENT ON GRATING,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,80,,EACH,,,Y,False,,True,,,False,,,
555,3,BOM_RSR24857/001 x 50,ECROU M6,50,BOM,50,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,90,,EACH,,,Y,False,,True,,,False,,,
556,3,BOM_RSR24836/001 x 30,BULON M 10X40MM,30,BOM,30,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,100,,EACH,,,Y,False,,True,,,False,,,
557,3,BOM_RSR24848/001 x 90,ROSETTA DIAM.12MM,90,BOM,90,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,110,,EACH,,,Y,False,,True,,,False,,,
558,3,BOM_RSO0235731/000 x 1,INSTRUMENT SUPPORT FOR COLUMN DIA 480 MM,1,BOM,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,120,,EACH,,,Y,False,,True,,,False,,,
559,3,BOM_RSO0235732/000 x 7,INSTRUMENT SUPPORT FOR COLUMN DIA 500 MM,7,BOM,7,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,130,,EACH,,,Y,False,,True,,,False,,,
560,3,BOM_RSO0235733/000 x 4,INSTRUMENT SUPPORT FOR YOKE DIA 219 MM,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,140,,EACH,,,Y,False,,True,,,False,,,
561,3,BOM_CKU00620/004 x 18,tubingDE 1 4 0 88,18,BOM,18,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,150,,M,,,Y,False,,True,,,False,,,
562,3,BOM_RCR24436/001 x 12,RACCORDO  1 4 X1 2  NPT M,12,BOM,12,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,160,,EACH,,,Y,False,,True,,,False,,,
563,3,BOM_RCR23671/001 x 6,"RACCORDO*DIRITTO $1/4""",6,BOM,6,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,170,,EACH,,,Y,False,,True,,,False,,,
564,3,BOM_CKU01216/004 x 24,"tubing_DE 1/2""_1,651",24,BOM,24,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,180,,M,,,Y,False,,True,,,False,,,
565,3,BOM_RGR00159/001 x 550,COLLARE*,550,BOM,550,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,190,,EACH,,,Y,False,,True,,,False,,,
566,3,BOM_RPR371180600/000 x 39,WELDED SUPPORTS,39,BOM,39,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,200,,EACH,,,Y,False,,True,,,False,,,
567,3,BOM_RPR371230600/000 x 15,SINGLE AND DOUBLE CHANNELS,15,BOM,15,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,210,,EACH,,,Y,False,,True,,,False,,,
568,3,BOM_RPR371250600/000 x 4,PERFORED DOUBLE CHANNEL 40X80X3000,4,BOM,4,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,220,,EACH,,,Y,False,,True,,,False,,,
569,3,BOM_RPR371270600/000 x 37,UR1 SINGLE BRACKET PLATE L=200MM (TRAYS 150MM),37,BOM,37,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,230,,EACH,,,Y,False,,True,,,False,,,
570,3,BOM_RPR371280600/000 x 2,BRACKETS SINGLE AND DOUBLE CHANNEL,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,240,,EACH,,,Y,False,,True,,,False,,,
571,3,BOM_RPR371330600/000 x 29,DOUBLE BRACKET L=300(350),29,BOM,29,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,250,,EACH,,,Y,False,,True,,,False,,,
572,3,BOM_RPR371340600/000 x 3,DOUBLE BRACKET L=400(450),3,BOM,3,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,260,,EACH,,,Y,False,,True,,,False,,,
573,3,BOM_RPR371400600/000 x 2,PLATE ORTH. TRASV.CONNECT. 3 HOLES,2,BOM,2,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,270,,EACH,,,Y,False,,True,,,False,,,
